id,species,height,dbh,lat,lng,condition
226,Deciduous,15,10.16,52.36592,4.897099,excellent
227,Deciduous,15,10.16,52.365943,4.897264,fair
228,Deciduous,15,10.16,52.365964,4.897434,good
229,Deciduous,18,12.7,52.365667,4.895707,fair
230,Deciduous,15,10.16,52.365785,4.895749,good
231,Deciduous,15,10.16,52.365803,4.896206,excellent
232,Deciduous,15,10.16,52.365817,4.896336,fair
233,Deciduous,24,17.78,52.359155,4.889481,good
234,Deciduous,24,17.78,52.359247,4.889081,excellent
235,Deciduous,24,17.78,52.359041,4.889639,excellent
236,Deciduous,24,17.78,52.359002,4.889773,fair
237,Deciduous,24,17.78,52.358956,4.889878,good
238,Deciduous,15,10.16,52.360043,4.892513,fair
239,Deciduous,15,10.16,52.359909,4.89468,good
240,Deciduous,9,7.62,52.359439,4.892304,excellent
241,Deciduous,18,12.7,52.359579,4.890121,fair
242,Deciduous,18,12.7,52.35996,4.893898,good
243,Deciduous,15,10.16,52.359476,4.891649,excellent
244,Deciduous,15,10.16,52.359463,4.891876,fair
245,Deciduous,18,12.7,52.359573,4.891991,good
246,Deciduous,18,12.7,52.359559,4.892197,excellent
247,Deciduous,15,10.16,52.35899,4.889995,fair
248,Deciduous,18,12.7,52.359974,4.893631,good
249,Deciduous,15,10.16,52.359985,4.893449,excellent
250,Deciduous,18,12.7,52.360093,4.891705,fair
251,Deciduous,15,10.16,52.360105,4.891524,good
252,Deciduous,15,10.16,52.360117,4.891307,excellent
253,Deciduous,18,12.7,52.359995,4.893264,fair
254,Deciduous,15,10.16,52.360003,4.89314,good
255,Deciduous,15,10.16,52.35993,4.894326,excellent
256,Deciduous,18,12.7,52.358865,4.891305,excellent
257,Deciduous,15,10.16,52.358721,4.891979,excellent
258,Deciduous,18,12.7,52.359903,4.888775,good
259,Deciduous,24,17.78,52.359337,4.888952,excellent
260,Deciduous,18,12.7,52.362348,4.885628,excellent
261,Deciduous,18,12.7,52.358834,4.891434,good
262,Deciduous,24,20.32,52.359398,4.891262,excellent
263,Deciduous,18,12.7,52.360001,4.888801,fair
264,Deciduous,18,12.7,52.358902,4.891366,fair
265,Deciduous,24,17.78,52.360867,4.88678,good
266,Deciduous,18,12.7,52.360268,4.88835,excellent
267,Deciduous,24,17.78,52.359968,4.888403,good
268,Deciduous,24,17.78,52.359758,4.888475,excellent
269,Deciduous,18,12.7,52.359664,4.888555,fair
270,Deciduous,18,12.7,52.359571,4.888646,good
271,Deciduous,15,10.16,52.359551,4.888674,excellent
272,Deciduous,18,12.7,52.360047,4.888697,fair
273,Deciduous,18,12.7,52.360323,4.898303,excellent
274,Deciduous,24,17.78,52.360497,4.898201,fair
275,Deciduous,18,12.7,52.361479,4.885814,excellent
276,Deciduous,15,10.16,52.359307,4.89818,fair
277,Deciduous,15,10.16,52.359429,4.89012,good
278,Deciduous,24,17.78,52.362271,4.885789,good
279,Deciduous,24,17.78,52.360078,4.888398,excellent
280,Deciduous,24,17.78,52.359862,4.888426,fair
281,Deciduous,15,10.16,52.35949,4.890248,fair
282,Deciduous,6,2.54,52.360591,4.891077,good
283,Deciduous,9,7.62,52.361789,4.886267,good
284,Deciduous,9,7.62,52.361633,4.886588,excellent
285,Deciduous,9,7.62,52.361712,4.886428,fair
286,Deciduous,9,7.62,52.36194,4.885957,good
287,Deciduous,9,5.08,52.362019,4.885796,excellent
288,Deciduous,9,7.62,52.361865,4.886112,fair
289,Deciduous,9,7.62,52.361553,4.886756,excellent
